,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3864,0.009307289123535156,0.0008358051247887375,0.002323627471923828,0.0002120095975285488,gini,10,21,1,8,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 8}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3865,0.008615970611572266,0.000390193518597053,0.002515697479248047,0.0003285672242235117,gini,10,21,1,10,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 10}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3866,0.009208393096923829,0.0007280684365498931,0.0022298812866210936,0.0003404069437027757,gini,10,21,1,12,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 12}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3867,0.008900642395019531,0.0009536598681309099,0.0025936126708984374,0.0005504329124788634,gini,10,21,1,18,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 18}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3868,0.009205389022827148,0.0011619444884496581,0.0024168968200683595,0.00043337180314183754,gini,10,21,1,20,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 20}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3869,0.00806741714477539,0.0008556204769658645,0.002567577362060547,0.0005901687429172023,gini,10,21,1,30,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 30}",1.0,0.9991204925241864,0.9973614775725593,0.9982409850483729,1.0,0.9989445910290238,0.0010256731565251333,2296
3870,0.008295965194702149,0.0008763214049118257,0.002312183380126953,0.0004729017942092166,gini,10,21,1,40,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 1, 'min_samples_split': 40}",0.9991212653778558,0.9991204925241864,0.9973614775725593,0.9982409850483729,0.9964819700967458,0.9980652381239441,0.0010258322427488084,3413
3871,0.00871572494506836,0.0008419167038395586,0.002411031723022461,0.0003888061474643694,gini,10,21,3,8,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 3, 'min_samples_split': 8}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3872,0.009294939041137696,0.0004986542997615768,0.002424335479736328,0.0005171455527785675,gini,10,21,3,10,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 3, 'min_samples_split': 10}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3873,0.009263181686401367,0.00042172777638114405,0.002302265167236328,0.0004341093014627488,gini,10,21,3,12,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 21, 'min_samples_leaf': 3, 'min_samples_split': 12}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
